record_id,Model,Year,Region,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,revenue_USD
1,5 Series,2016,Asia,Petrol,Manual,3.5,151748,98740,8300,819542000
2,i8,2013,North America,Hybrid,Automatic,1.6,121671,79219,3428,271562732
3,5 Series,2022,North America,Petrol,Automatic,4.5,10991,113265,6994,792175410
4,X3,2024,Middle East,Petrol,Automatic,1.7,27255,60971,4047,246749637
5,7 Series,2020,South America,Diesel,Manual,2.1,122131,49898,3080,153685840
6,5 Series,2017,Middle East,Diesel,Manual,1.9,171362,42926,1232,52884832
7,i8,2022,Europe,Diesel,Manual,1.8,196741,55064,7949,437703736
8,M5,2014,Asia,Diesel,Automatic,1.6,121156,102778,632,64955696
9,X3,2016,South America,Diesel,Automatic,1.7,48073,116482,8944,1041815008
10,i8,2019,Europe,Electric,Manual,3,35700,96257,4411,424589627
11,3 Series,2012,Middle East,Electric,Manual,2.4,101595,117995,500,58997500
12,i8,2016,North America,Hybrid,Manual,1.9,116863,74539,8252,615095828
13,7 Series,2020,North America,Diesel,Automatic,3.8,27403,100015,8111,811221665
14,5 Series,2020,Africa,Electric,Manual,2.3,163444,119486,4668,557760648
15,X1,2017,Asia,Electric,Automatic,1.6,107918,34078,7291,248462698
16,M3,2014,North America,Hybrid,Manual,3,154050,94997,7765,737651705
17,X5,2013,Asia,Electric,Manual,2.6,110142,114844,5561,638647484
18,M5,2017,North America,Diesel,Automatic,2.6,86900,81934,9755,799266170
19,5 Series,2017,North America,Electric,Manual,3.1,57843,111326,4880,543270880
20,X5,2012,Africa,Electric,Manual,3.8,142243,82677,7104,587337408
21,X3,2015,North America,Diesel,Automatic,3.7,123910,88091,8635,760665785
22,X1,2014,Africa,Petrol,Manual,4.8,13568,62941,1113,70053333
23,M5,2011,Europe,Electric,Automatic,3.3,78042,49507,9383,464524181
24,7 Series,2017,North America,Petrol,Automatic,3.2,58288,101791,7521,765570111
25,X5,2021,South America,Diesel,Manual,2.2,184981,47527,6273,298136871
26,X3,2023,Middle East,Electric,Automatic,4.1,194398,85370,4645,396543650
27,M3,2015,Asia,Hybrid,Manual,2,41514,116902,8897,1040077094
28,X1,2011,North America,Hybrid,Automatic,3.2,104742,107465,6481,696480665
29,M5,2021,Asia,Hybrid,Automatic,3,105162,32076,9469,303727644
30,M3,2014,Asia,Electric,Automatic,3.8,90282,64049,1440,92230560
31,i8,2010,South America,Hybrid,Automatic,4.7,16020,102215,5006,511688290
32,i8,2021,South America,Diesel,Manual,4.8,3188,64577,448,28930496
33,M5,2019,Asia,Diesel,Manual,2.1,97294,53277,4091,217956207
34,i8,2015,Asia,Hybrid,Automatic,2.4,194395,118788,3384,401978592
35,X1,2022,Middle East,Hybrid,Manual,4.3,143013,116432,4926,573544032
36,M5,2021,South America,Petrol,Automatic,3.3,88342,108240,4561,493682640
37,X3,2018,Middle East,Petrol,Manual,3.1,33370,52717,8046,424160982
38,i8,2010,Middle East,Petrol,Automatic,4,98514,37949,2278,86447822
39,M3,2020,Africa,Petrol,Manual,3.6,82668,86748,3929,340832892
40,X5,2020,Middle East,Hybrid,Automatic,4.9,132299,35401,7110,251701110
41,i3,2024,Middle East,Petrol,Automatic,3.5,135958,69578,173,12036994
42,M5,2019,South America,Diesel,Manual,3.1,192690,37177,5946,221054442
43,X5,2021,Africa,Diesel,Manual,3.4,99697,60278,2913,175589814
44,X5,2021,Middle East,Petrol,Automatic,4.3,44279,96256,7627,734144512
45,X5,2024,South America,Hybrid,Manual,3.6,111661,82675,2155,178164625
46,i8,2023,Europe,Diesel,Automatic,3.8,78573,118317,7168,848096256
47,i3,2023,North America,Petrol,Automatic,4.9,94453,79039,8283,654680037
48,5 Series,2024,Asia,Electric,Manual,3.7,157789,86855,648,56282040
49,X6,2023,Africa,Hybrid,Automatic,2.8,84367,112542,7933,892795686
50,i3,2012,Asia,Hybrid,Manual,3.9,193905,93508,8438,789020504
51,X3,2021,Asia,Hybrid,Automatic,3.8,57759,119692,6782,811751144
52,M3,2016,Africa,Hybrid,Manual,1.5,113832,49278,3153,155373534
53,i8,2013,Middle East,Petrol,Manual,3.1,42427,44269,5887,260611603
54,i3,2018,South America,Petrol,Manual,4.1,1428,46127,608,28045216
55,i8,2012,Middle East,Diesel,Automatic,3.2,110845,100747,3291,331558377
56,M5,2014,South America,Electric,Automatic,4.2,125379,96739,3754,363158206
57,X5,2012,Middle East,Petrol,Manual,3.1,107014,57537,4125,237340125
58,X6,2016,South America,Hybrid,Automatic,4.9,180186,46263,9762,451619406
59,M3,2014,Europe,Electric,Manual,2.5,74474,65464,9390,614706960
60,3 Series,2018,Africa,Electric,Manual,1.8,117061,54762,3293,180331266
61,M3,2016,South America,Electric,Automatic,3,102675,93915,9470,889375050
62,X6,2011,Middle East,Diesel,Automatic,3.4,27706,117237,5425,636010725
63,i8,2013,South America,Diesel,Manual,2.7,150761,34193,425,14532025
64,X6,2018,Asia,Electric,Manual,2.3,10027,89970,4935,444001950
65,3 Series,2021,North America,Hybrid,Automatic,3.9,87632,65089,660,42958740
66,3 Series,2023,Europe,Electric,Manual,2.8,128295,86402,4266,368590932
67,M3,2011,Asia,Diesel,Automatic,3.7,40915,44322,2191,97109502
68,X3,2019,Asia,Electric,Automatic,4.2,88705,111352,1932,215132064
69,7 Series,2018,Middle East,Petrol,Manual,4.2,94859,50620,6962,352416440
70,3 Series,2019,South America,Hybrid,Manual,2.8,193021,44950,1703,76549850
71,X6,2014,Europe,Diesel,Manual,3.5,178427,101523,8589,871981047
72,5 Series,2011,Middle East,Hybrid,Automatic,3.1,139212,31815,2011,63979965
73,7 Series,2013,Asia,Hybrid,Manual,4.5,144832,118363,1564,185119732
74,i3,2021,South America,Electric,Manual,4.6,107985,43355,945,40970475
75,X1,2024,Europe,Petrol,Automatic,2.7,24141,84346,4289,361759994
76,i3,2021,North America,Electric,Automatic,1.8,112862,66155,3748,247948940
77,X1,2016,Europe,Petrol,Manual,2.1,37975,101753,3476,353693428
78,X3,2021,North America,Electric,Manual,2.8,75480,68274,5759,393189966
79,X3,2022,Middle East,Petrol,Manual,3.5,52217,78144,9420,736116480
80,M3,2017,North America,Hybrid,Automatic,3.8,24291,87604,9797,858256388
81,M5,2024,North America,Diesel,Manual,2.7,143885,90388,7944,718042272
82,7 Series,2012,South America,Petrol,Manual,3.8,93073,102551,6709,688014659
83,7 Series,2023,North America,Diesel,Automatic,4.8,64153,117121,4823,564874583
84,X6,2010,Europe,Hybrid,Manual,3.8,128477,68106,1048,71375088
85,i8,2013,Middle East,Petrol,Manual,2.1,119491,78729,9545,751468305
86,M5,2011,North America,Hybrid,Automatic,3.5,94375,71912,2167,155833304
87,M5,2017,South America,Petrol,Manual,3.4,190609,94286,3140,296058040
88,X6,2013,South America,Hybrid,Manual,4.5,94915,50923,7821,398268783
89,i8,2011,Middle East,Diesel,Automatic,2.7,144698,37887,2085,78994395
90,X3,2023,Europe,Hybrid,Manual,3,12922,101473,8030,814828190
91,i8,2015,Middle East,Electric,Manual,3.6,46176,96965,5409,524483685
92,X5,2015,Middle East,Hybrid,Automatic,3.3,121271,76799,4367,335381233
93,X3,2019,North America,Hybrid,Automatic,4,189804,119927,1472,176532544
94,i3,2013,Africa,Diesel,Manual,1.6,192509,72385,455,32935175
95,i3,2015,Asia,Electric,Manual,3.5,68161,63696,7218,459757728
96,X6,2022,Asia,Electric,Manual,1.9,182027,35951,3389,121837939
97,X5,2024,Asia,Hybrid,Automatic,2.6,120597,95900,8581,822917900
98,i8,2011,Europe,Hybrid,Automatic,3.8,184765,44846,1431,64174626
99,X5,2019,Africa,Electric,Manual,2.1,161177,95908,2775,266144700
100,X1,2021,Asia,Diesel,Manual,2.6,84621,119897,4601,551646097
101,3 Series,2011,Middle East,Hybrid,Automatic,4,22280,55612,6698,372489176
102,M5,2019,Europe,Diesel,Manual,3.8,127689,72188,6056,437170528
103,i3,2023,Africa,Hybrid,Manual,1.8,73990,89587,6301,564487687
104,M5,2013,Asia,Diesel,Automatic,3.5,17838,46231,8734,403781554
105,X1,2023,Middle East,Diesel,Manual,2,172729,85801,8644,741663844
106,7 Series,2024,North America,Electric,Manual,2.4,80659,92213,5456,503114128
107,7 Series,2024,Africa,Diesel,Automatic,3.1,132686,42013,8472,355934136
108,i8,2017,Asia,Petrol,Automatic,1.9,146940,50942,5940,302595480
109,7 Series,2023,Europe,Electric,Manual,5,50602,83812,2241,187822692
110,7 Series,2016,Africa,Petrol,Automatic,2.1,49521,93993,8663,814261359
111,X3,2021,Africa,Electric,Automatic,4.2,169825,30158,8293,250100294
112,i8,2018,Europe,Petrol,Automatic,4.4,193467,102279,8445,863746155
113,i3,2023,North America,Electric,Manual,5,190643,36081,190,6855390
114,7 Series,2017,Middle East,Petrol,Automatic,3,112754,93431,7462,697182122
115,M3,2014,Middle East,Diesel,Manual,4.6,42711,40950,8339,341482050
116,i8,2022,South America,Diesel,Automatic,4.9,103105,66212,4055,268489660
117,5 Series,2011,Europe,Petrol,Automatic,2.1,146963,90224,3683,332294992
118,3 Series,2024,South America,Hybrid,Automatic,3.2,144152,49557,1180,58477260
119,X6,2014,Europe,Diesel,Automatic,1.7,105592,100663,9100,916033300
120,X5,2017,South America,Petrol,Manual,3.7,31779,83059,6844,568455796
121,M5,2019,Asia,Petrol,Manual,3.5,154626,45389,8882,403145098
122,X6,2018,North America,Diesel,Automatic,2.2,162862,36520,2914,106419280
123,3 Series,2021,Africa,Diesel,Manual,4.3,170208,40194,4548,182802312
124,5 Series,2021,Asia,Electric,Manual,1.6,140059,82668,271,22403028
125,X3,2021,Middle East,Electric,Automatic,4.3,63050,107348,2451,263109948
126,7 Series,2022,North America,Petrol,Automatic,1.6,123623,52099,4212,219440988
127,X5,2018,Middle East,Petrol,Manual,3.8,159629,117084,3275,383450100
128,M3,2022,Asia,Diesel,Manual,1.8,189688,38811,7337,284756307
